datetime, shape
﻿10/13/2012 20:30,circle
10/13/2012 22:30,light
10/13/2012 22:30,fireball
10/18/2012 05:50,light
10/19/2012 06:20,unknown
10/21/2012 03:20,light
11-11-2012 19:30,circle
11-1-2012 22:10,sphere
11/17/2012 21:00,circle
11/18/2012 19:40,flash
11/18/2012 22:55,other
1-1-2012 21:45,sphere
1/13/2012 19:45,other
1/14/2012 03:19,triangle
11-4-2012 19:10,sphere
11-5-2012 20:30,circle
1/16/2012 18:30,triangle
12-11-2012 20:00,other
12-1-2012 17:10,sphere
12/15/2012 03:13,light
12/25/2012 20:00,circle
12/31/2012 21:00,light
12/31/2012 22:30,light
1-8-2012 20:30,other
2-10-2012 19:52,cone
2-11-2012 21:05,circle
2-12-2012 00:30,circle
2-3-2012 07:00,cigar
3-10-2012 23:00,light
3-11-2012 20:30,other
3-3-2012 20:45,sphere
4-12-2012 22:30,triangle
4/15/2012 10:50,circle
4/23/2012 02:00,other
4/24/2012 23:00,light
4-7-2012 09:50,rectangle
5/13/2012 20:44,circle
5-2-2012 22:00,fireball
5/22/2012 16:40,disk
5/22/2012 20:30,other
5/24/2012 21:45,formation
5/25/2012 13:30,triangle
5-7-2012 01:00,oval
5-9-2012 08:30,rectangle
6/29/2012 00:30,light
6-4-2012 22:00,light
6-9-2012 15:00,circle
6-9-2012 22:30,circle
7/15/2012 01:00,oval
7/31/2012 21:00,egg
8/15/2012 15:00,disk
8/15/2012 21:00,triangle
8/15/2012 22:40,circle
8/18/2012 23:40,chevron
8/19/2012 02:09,triangle
8/28/2012 03:30,light
9/21/2012 22:35,fireball
9/21/2012 22:55,fireball
9/21/2012 22:55,unknown
9/21/2012 22:58,fireball
9/21/2012 23:00,other
9/21/2012 23:00,circle
9/21/2012 23:00,fireball
9/21/2012 23:00,other
9/21/2012 23:00,fireball
9/21/2012 23:00,changing
9/21/2012 23:05,other
9/24/2012 11:00,triangle
9/24/2012 20:09,circle
9/27/2012 07:00,light
9/28/2012 22:00,circle
9/29/2012 20:55,light
9/30/2012 00:30,circle
9-8-2012 09:34,formation
9-8-2012 19:55,teardrop
