LOCATION,Country,DESC,Description,Value
AUS,Australia,LEI,Leisure,281
AUS,Australia,OTH,Other,20
AUS,Australia,PAW,Paid work or study,238
AUS,Australia,PCA,Personal care,657
AUS,Australia,UPW,Unpaid work,243
AUT,Austria,LEI,Leisure,291
AUT,Austria,OTH,Other,8
AUT,Austria,PAW,Paid work or study,306
AUT,Austria,PCA,Personal care,632
AUT,Austria,UPW,Unpaid work,202
BEL,Belgium,LEI,Leisure,369
BEL,Belgium,OTH,Other,5
BEL,Belgium,PAW,Paid work or study,191
BEL,Belgium,PCA,Personal care,665
BEL,Belgium,UPW,Unpaid work,211
CAN,Canada,LEI,Leisure,279
CAN,Canada,OTH,Other,34
CAN,Canada,PAW,Paid work or study,305
CAN,Canada,PCA,Personal care,637
CAN,Canada,UPW,Unpaid work,186
DEU,Germany,LEI,Leisure,331
DEU,Germany,OTH,Other,17
DEU,Germany,PAW,Paid work or study,248
DEU,Germany,PCA,Personal care,648
DEU,Germany,UPW,Unpaid work,196
DNK,Denmark,LEI,Leisure,329
DNK,Denmark,OTH,Other,10
DNK,Denmark,PAW,Paid work or study,225
DNK,Denmark,PCA,Personal care,659
DNK,Denmark,UPW,Unpaid work,217
ESP,Spain,LEI,Leisure,316
ESP,Spain,OTH,Other,13
ESP,Spain,PAW,Paid work or study,202
ESP,Spain,PCA,Personal care,692
ESP,Spain,UPW,Unpaid work,217
EST,Estonia,LEI,Leisure,309
EST,Estonia,OTH,Other,5
EST,Estonia,PAW,Paid work or study,256
EST,Estonia,PCA,Personal care,663
EST,Estonia,UPW,Unpaid work,208
FIN,Finland,LEI,Leisure,331
FIN,Finland,OTH,Other,43
FIN,Finland,PAW,Paid work or study,229
FIN,Finland,PCA,Personal care,640
FIN,Finland,UPW,Unpaid work,197
FRA,France,LEI,Leisure,294
FRA,France,OTH,Other,9
FRA,France,PAW,Paid work or study,204
FRA,France,PCA,Personal care,752
FRA,France,UPW,Unpaid work,181
GBR,United Kingdom,LEI,Leisure,306
GBR,United Kingdom,OTH,Other,32
GBR,United Kingdom,PAW,Paid work or study,262
GBR,United Kingdom,PCA,Personal care,645
GBR,United Kingdom,UPW,Unpaid work,195
GRC,Greece,LEI,Leisure,353
GRC,Greece,OTH,Other,7
GRC,Greece,PAW,Paid work or study,182
GRC,Greece,PCA,Personal care,706
GRC,Greece,UPW,Unpaid work,193
HUN,Hungary,LEI,Leisure,278
HUN,Hungary,OTH,Other,2
HUN,Hungary,PAW,Paid work or study,277
HUN,Hungary,PCA,Personal care,682
HUN,Hungary,UPW,Unpaid work,200
IRL,Ireland,LEI,Leisure,315
IRL,Ireland,OTH,Other,26
IRL,Ireland,PAW,Paid work or study,271
IRL,Ireland,PCA,Personal care,616
IRL,Ireland,UPW,Unpaid work,213
ITA,Italy,LEI,Leisure,323
ITA,Italy,OTH,Other,12
ITA,Italy,PAW,Paid work or study,177
ITA,Italy,PCA,Personal care,708
ITA,Italy,UPW,Unpaid work,219
JPN,Japan,LEI,Leisure,278
JPN,Japan,OTH,Other,47
JPN,Japan,PAW,Paid work or study,363
JPN,Japan,PCA,Personal care,620
JPN,Japan,UPW,Unpaid work,132
KOR,Korea,LEI,Leisure,291
KOR,Korea,OTH,Other,13
KOR,Korea,PAW,Paid work or study,348
KOR,Korea,PCA,Personal care,652
KOR,Korea,UPW,Unpaid work,136
LVA,Latvia,LEI,Leisure,269
LVA,Latvia,OTH,Other,4
LVA,Latvia,PAW,Paid work or study,330
LVA,Latvia,PCA,Personal care,641
LVA,Latvia,UPW,Unpaid work,196
MEX,Mexico,LEI,Leisure,178
MEX,Mexico,OTH,Other,21
MEX,Mexico,PAW,Paid work or study,359
MEX,Mexico,PCA,Personal care,612
MEX,Mexico,UPW,Unpaid work,270
NLD,Netherlands,LEI,Leisure,296
NLD,Netherlands,OTH,Other,33
NLD,Netherlands,PAW,Paid work or study,281
NLD,Netherlands,PCA,Personal care,638
NLD,Netherlands,UPW,Unpaid work,193
NOR,Norway,LEI,Leisure,368
NOR,Norway,OTH,Other,7
NOR,Norway,PAW,Paid work or study,241
NOR,Norway,PCA,Personal care,627
NOR,Norway,UPW,Unpaid work,196
NZL,New Zealand,LEI,Leisure,301
NZL,New Zealand,OTH,Other,17
NZL,New Zealand,PAW,Paid work or study,270
NZL,New Zealand,PCA,Personal care,648
NZL,New Zealand,UPW,Unpaid work,204
POL,Poland,LEI,Leisure,278
POL,Poland,OTH,Other,51
POL,Poland,PAW,Paid work or study,218
POL,Poland,PCA,Personal care,667
POL,Poland,UPW,Unpaid work,226
PRT,Portugal,LEI,Leisure,241
PRT,Portugal,OTH,Other,6
PRT,Portugal,PAW,Paid work or study,295
PRT,Portugal,PCA,Personal care,676
PRT,Portugal,UPW,Unpaid work,223
SVN,Slovenia,LEI,Leisure,311
SVN,Slovenia,OTH,Other,6
SVN,Slovenia,PAW,Paid work or study,265
SVN,Slovenia,PCA,Personal care,628
SVN,Slovenia,UPW,Unpaid work,231
SWE,Sweden,LEI,Leisure,307
SWE,Sweden,OTH,Other,52
SWE,Sweden,PAW,Paid work or study,274
SWE,Sweden,PCA,Personal care,611
SWE,Sweden,UPW,Unpaid work,196
TUR,Turkey,LEI,Leisure,283
TUR,Turkey,OTH,Other,63
TUR,Turkey,PAW,Paid work or study,200
TUR,Turkey,PCA,Personal care,695
TUR,Turkey,UPW,Unpaid work,199
USA,United States,LEI,Leisure,283
USA,United States,OTH,Other,23
USA,United States,PAW,Paid work or study,290
USA,United States,PCA,Personal care,646
USA,United States,UPW,Unpaid work,197
ZAF,South Africa,LEI,Leisure,306
ZAF,South Africa,OTH,Other,16
ZAF,South Africa,PAW,Paid work or study,241
ZAF,South Africa,PCA,Personal care,695
ZAF,South Africa,UPW,Unpaid work,182
